"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test top_3_words function
        ","0","Testing top_3_words function","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Test a function that should take a shuffled list of unique numbers
        from 1 to n with one element missing (which can be any
        number including n). Should return this missing number.

        :return:
        ","16","Testing the 'find_missing_number' function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing 'vaporcode' function
        :return:
        ","0","Testing 'vaporcode' function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing ips_between function

        Testing a function that receives two IPv4 addresses,
        and returns the number of addresses between them
        (including the first one, excluding the last one).

        All inputs will be valid IPv4 addresses in the form
        of strings. The last address will always be greater
        than the first one.
        :return:
        ","0","test_ips_between","Novice","Mon Aug 26 22:05:27 PDT 2024","skipped","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing Line Safari functionality
        Negative test cases
        ","0","test_line_negative","Competent","Mon Aug 26 22:05:27 PDT 2024","skipped","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing monkey_count function

        You take your son to the forest to see the monkeys.
        You know that there are a certain number there (n),
        but your son is too young to just appreciate the full
        number, he has to start counting them from 1.

        As a good parent, you will sit and count with him.
        Given the number (n), populate an array with all
        numbers up to and including that number, but excluding
        zero.
        :return:
        ","0","Testing monkey_count function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        In mathematics the number of x combinations you can take from a
        set of n elements is called the binomial coefficient of n and x,
        or more often n choose x. The formula to compute m = n choose x is:
        m = n! / (x! * (n - x)!) where ! is the factorial operator.

        You are a renowned poster designer and painter. You are asked to
        provide 6 posters all having the same design each in 2 colors.
        Posters must all have a different color combination and you have
        the choice of 4 colors: red, blue, yellow, green. How many colors
        can you choose for each poster?
        ","0","Testing checkchoose function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Fundamentals","",""
"
        Testing password function with various test inputs
        :return:
        ","0","Testing password function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing permute_a_palindrome function
        :return:
        ","0","Testing permute_a_palindrome (positive)","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing string_to_array function.

        A function to split a string and
        convert it into an array of words.
        :return:
        ","0","Testing string_to_array function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"","0","Testing permute_a_palindrome (negative)","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing Encoding functionality
        ","0","Testing Encoding functionality","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing max_multiple function with
        various test data

        :return:
        ","0","Testing max_multiple function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing 'letter_count' function
        :return:
        ","0","Testing 'letter_count' function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing 'feast' function with various test inputs

        Testing a function feast that takes the animal's
        name and dish as arguments and returns true or
        false to indicate whether the beast is allowed
        to bring the dish to the feast.

        Assume that beast and dish are always lowercase strings,
        and that each has at least two letters. beast and dish
        may contain hyphens and spaces, but these will not appear
        at the beginning or end of the string. They will not
        contain numerals.

        There is just one rule: the dish must start and end with
        the same letters as the animal's name. For example, the
        great blue heron is bringing garlic naan and the chickadee
        is bringing chocolate cake.
        :return:
        ","0","Testing 'feast' function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing to_alternating_case function
        :return:
        ","16","Testing to_alternating_case function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"","0","Testing odd_row function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Performance","",""
"","0","Testing calculate_damage function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Games","",""
"
        Testing set_alarm function with various test inputs.

        The function should return true if you are employed
        and not on vacation (because these are the circumstances
        under which you need to set an alarm). It should return
        false otherwise.

        Examples:

        setAlarm(true, true) -> false
        setAlarm(false, true) -> false
        setAlarm(false, false) -> false
        setAlarm(true, false) -> true
        :return:
        ","0","Testing set_alarm function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing sum_for_list function
        :return:
        ","78","Testing sum_for_list function","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing a function named first_non_repeating_letter
        that takes a string input, and returns the first character
        that is not repeated anywhere in the string.

        For example, if given the input 'stress', the function
        should return 't', since the letter t only occurs once
        in the string, and occurs first in the string.

        As an added challenge, upper- and lowercase letters are
        considered the same character, but the function should
        return the correct case for the initial letter. For example,
        the input 'sTreSS' should return 'T'.

        If a string contains all repeating characters, it should
        return an empty string ("""") or None -- see sample tests.
        :return:
        ","0","Testing first_non_repeating_letter function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing all_fibonacci_numbers function

        You're going to provide a needy programmer a
        utility method that generates an infinite sized,
        sequential IntStream (in Python generator)
        which contains all the numbers in a fibonacci
        sequence.

        A fibonacci sequence starts with two 1s.
        Every element afterwards is the sum of
        the two previous elements.
        :return:
        ","0","Testing all_fibonacci_numbers function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        0 is a square number
        :return:
        ","0","Zero","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        a an b are positive numbers
        :return:
        ","0","a an b are positive numbers","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"","0","test_sequence","Novice","Mon Aug 26 22:05:28 PDT 2024","skipped","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing decipher_this function
        :param self:
        :return:
        ","0","Testing decipher_this function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Fundamentals","",""
"
        Negative test cases for gen_primes function testing
        :return:
        ","0","Negative test cases for gen_primes function testing","Helper methods","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","No kyu helper methods","",""
"
        Testing 'DefaultList' class: extend
        :return:
        ","0","Testing 'DefaultList' class: extend","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Object-Oriented Programming","",""
"
        Simple negative test
        :return:
        ","0","Testing toJadenCase function (negative)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        In logic and mathematics, or is the
        truth-functional operator of (inclusive)
        disjunction, also known as alternation.

        The or of a set of operands is true if
        and only if one or more of its operands is true.

        Source:
        https://en.wikipedia.org/wiki/Logical_disjunction

        :return:
        ","0","OR logical operator","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"","0","'fix_the_meerkat function function verification","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        25 is a square number
        :return:
        ","0","Square numbers (positive)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        Negative test cases for is_prime function testing
        :return:
        ","0","Negative test cases for is_prime function testing","Helper methods","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","No kyu helper methods","",""
"
        Testing two_decimal_places function
        with various test inputs.

        Each number should be formatted that it is
        rounded to two decimal places. You don't
        need to check whether the input is a valid
        number because only valid numbers are used
        in the tests.
        :return:
        ","0","Testing two_decimal_places function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing Walker class
        Testing starting position property based on positive grids
        ","0","test_starting_position_from_positives","Competent","Mon Aug 26 22:05:27 PDT 2024","skipped","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        26 is not a square number
        :return:
        ","0","Non square numbers (negative)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        Advanced/random test case
        :return:
        ","0","test_random","Beginner","Mon Aug 26 21:37:54 PDT 2024","passed","Mon Aug 26 21:37:54 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing 'DefaultList' class: __getitem__

        Called to implement evaluation of self[key]. For sequence types,
        the accepted keys should be integers and slice objects.
        Note that the special interpretation of negative indexes
        (if the class wishes to emulate a sequence type) is up to the
        __getitem__() method.
        :return:
        ","0","Testing 'DefaultList' class: __getitem__","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Object-Oriented Programming","",""
"
        Testing 'save' function: positive

        The function should determine how many
        files of the copy queue you will be able
        to save into your Hard Disk Drive.
        :return:
        ","0","Testing 'save' function: positive","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Test string with no duplicate chars
        :return:
        ","0","String with no duplicate chars","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing solution function
        ","0","Testing solution function","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing shark function -> positive
        :return:
        ","0","Testing shark function (positive)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        Test the function that organizes a sports league in a
        round-robin-system. Each team meets all other teams.
        In your league a win gives a team 2 points, a draw gives
        both teams 1 point. After some games you have to compute
        the order of the teams in your league. You use the following
        criteria to arrange the teams:

            - Points
            - Scoring differential (the difference between goals scored and those conceded)
            - Goals scored

        :return:
        ","0","Testing compute_ranks","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing letter_frequency function
        where all chars are in lower case
        :return:
        ","0","All chars are in lower case","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"","0","test_solution_big","Novice","Mon Aug 26 22:05:27 PDT 2024","skipped","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        4 is a square number
        :return:
        ","0","Square numbers (positive)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        And (∧) is the truth-functional
        operator of logical conjunction

        The and of a set of operands is true
        if and only if all of its operands are true.

        Source:
        https://en.wikipedia.org/wiki/Logical_conjunction

        :return:
        ","0","AND logical operator","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        If we have an array [1,2,3,4,6,7,8] then 1 then 2
        then 3 then 4 are all consecutive but 6 is not,
        so that's the first non-consecutive number.
        :return:
        ","0","Non consecutive number should be returned","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing 'DefaultList' class: remove
        :return:
        ","15","Testing 'DefaultList' class: remove","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Object-Oriented Programming","",""
"
        Testing 'sum_triangular_numbers' function
        with big number as an input
        :return:
        ","0","Testing 'sum_triangular_numbers' with big number as an input","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"","0","Testing zero_fuel function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"
        Test that a function that given a sequence of strings, groups the elements
        that can be obtained by rotating others, ignoring upper or lower cases.

        In the event that an element appears more than once in the input sequence,
        only one of them will be taken into account for the result, discarding the rest.
        :return:
        ","0","Testing the 'group_cities' function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing 'sentencify' function.

        The function should:

        1. Capitalise the first letter of the first word.
        2. Add a period (.) to the end of the sentence.
        3. Join the words into a complete string, with spaces.
        4. Do no other manipulation on the words.

        :return:
        ","0","Testing 'solution' function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"","0","Testing 'thirt' function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Fundamentals","",""
"
        Test that 'remove_char' function
        removes the first and
        last characters of a string.
        :return:
        ","0","Testing remove_char function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Test sum_two_smallest_numbers function
        The function should return the sum of
        the two lowest positive numbers
        :return:
        ","0","Two smallest numbers in the start of the list","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Large lists
        :return:
        ","0","Large lists","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing Calculator class
        A simple calculator that given a string of operators '()', '+', '-', '*', '/'
        and numbers separated by spaces will return the value of that expression

        :return: None
        ","15","Testing Calculator class","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Test with empty string
        :return:
        ","0","Test with empty string","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"","0","Testing stock_list function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Fundamentals","",""
"
        Testing 'count_sheeps' function
        Hint: Don't forget to check for
        bad values like mixed list
        :return:
        ","0","Testing 'count_sheeps' function: mixed list","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        The 'sort_array' function.

        The task is to sort ascending odd numbers but
        even numbers must be on their places.

        Zero isn't an odd number and you don't need to
        move it. If you have an empty array, you need
        to return it.

        :return:
        ","16","Testing the 'sort_array' function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"","0","Testing calc_combinations_per_row function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Fundamentals","",""
"
        Testing share_price function
        with multiple test inputs
        :return:
        ","0","Testing share_price function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing 'is_isogram' function
        ","0","Testing 'is_isogram' function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Fundamentals","",""
"
        Testing check_root function with various test inputs

        A function which takes numbers separated by commas
        in string format and returns the number which is a
        perfect square and the square root of that number.

        If string contains other characters than number or
        it has more or less than 4 numbers separated by comma
        function returns ""incorrect input"".

        If string contains 4 numbers but not consecutive it
        returns ""not consecutive"".
        :return:
        ","0","Testing check_root function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"","0","Testing hoop_count function (negative test case)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Fundamentals","",""
"
        Testing swap_values function
        ","0","Testing swap_values function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing 'count_sheeps' function
        Hint: Don't forget to check for
        bad values like empty list
        :return:
        ","0","Testing 'count_sheeps' function: empty list","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        If the wolf is not the closest animal to you,
        return ""Oi! Sheep number N! You are about to be eaten by a wolf!""
        where N is the sheep's position in the queue.
        :return:
        ","0","Wolf at the end of the queue","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Control Flow","",""
"
        Testing make_readable function

        Write a function, which takes a non-negative integer
        (seconds) as input and returns the time in a human-readable
        format (HH:MM:SS)

        HH = hours, padded to 2 digits, range: 00 - 99
        MM = minutes, padded to 2 digits, range: 00 - 59
        SS = seconds, padded to 2 digits, range: 00 - 59

        The maximum time never exceeds 359999 (99:59:59)
        :return:
        ","0","Testing make_readable function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Test string with mixed type of chars
        :return:
        ","0","String with mixed type of chars","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Use conditionals to to verify that greet
        function returns the proper message.
        :return:
        ","0","Verify that greet function returns the proper message","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Control Flow","",""
"
        Simple Fun #152: Invite More Women?
        Testing invite_more_women function (negative)
        :return:
        ","0","Testing invite_more_women function (negative)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Verify that 'has_subpattern' function

        Return a subpattern with sorted characters,
        otherwise return the base string with sorted
        characters (you might consider this case as
        an edge case, with the subpattern being repeated
        only once and thus equalling the original input string).
        :return:
        ","0","Testing 'has_subpattern' (part 3) function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Advanced Language Features","",""
"
        Testing a function named advice(agents, n) where:
            - agents is an array of agent coordinates.
            - n defines the size of the city that Bassi needs to hide in,
              in other words the side length of the square grid.

        The function should return a list of coordinates that are the furthest
        away (by Manhattan distance) from all agents.
        :return:
        ","125","Testing advice function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing solution function

        If we list all the natural numbers below 10
        that are multiples of 3 or 5, we get 3, 5, 6 and 9.
        The sum of these multiples is 23.

        Finish the solution so that it returns the sum of
        all the multiples of 3 or 5 below the number passed in.

        Note: If the number is a multiple of both 3 and 5,
        only count it once.
        :return:
        ","0","Testing the 'solution' function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing 'DefaultList' class: insert
        :return:
        ","0","Testing 'DefaultList' class: insert","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Object-Oriented Programming","",""
"
        Testing greek_comparator function
        with various test inputs
        :return:
        ","0","Testing 'greek_comparator' function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Fundamentals","",""
"
        Positive test cases for is_prime function testing
        :return:
        ","0","Positive test cases for is_prime function testing","Helper methods","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","No kyu helper methods","",""
"","0","Testing Potion class","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Classes","",""
"","0","test_solution_empty","Novice","Mon Aug 26 22:05:27 PDT 2024","skipped","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        If the wolf is the closest animal to you,
        return ""Pls go away and stop eating my sheep"".
        :return:
        ","0","Wolf at the beginning of the queue","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Control Flow","",""
"","0","Testing epidemic function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Fundamentals","",""
"
        Test that no_space function removes the spaces
        from the string, then return the resultant string.
        :return:
        ","0","Test that no_space function removes the spaces","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Test an algorithm that takes an array and moves all of the
        zeros to the end, preserving the order of the other elements.
        :return:
        ","0","Testing move_zeros function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing Warrior class >>> tom
        ","0","Testing Warrior class >>> tom","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","OOP","",""
"
        non-consecutive is a negative number.
        :return:
        ","0","Negative non consecutive number should be returned","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing a function named agents_cleanup where:
            - agents: is an array of agent coordinates
            - n: defines the size of the city that Bassi needs to hide in,
              in other words the side length of the square grid.

        The function should remove all agents that are outside of the city boundaries.
        :return:
        ","0","Testing agents_cleanup function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing sum_of_intervals function

        The function should accept an array of intervals,
        and return the sum of all the interval lengths.

        Overlapping intervals should only be counted once.

        Intervals
        Intervals are represented by a pair of integers in
        the form of an array. The first value of the interval
        will always be less than the second value.
        Interval example: [1, 5] is an interval from 1 to 5.
        The length of this interval is 4.
        :return:
        ","0","Testing sum_of_intervals function","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Repeating char is a space
        :return:
        ","0","String alphabet chars and spaces","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        In this kata you have to correctly return who
        is the ""survivor"", ie: the last element of a
        Josephus permutation.
        :return:
        ","0","test_josephus_survivor","Novice","Mon Aug 26 22:05:27 PDT 2024","skipped","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
